f_timestamp,f_id,cluster_data,heading,status
2025,756,1,177,STANDING
2025,757,1,177,STANDING
2025,758,1,177,STANDING
2025,759,1,177,STANDING
2025,760,1,177,STANDING
2025,761,1,177,STANDING
2025,762,1,177,STANDING
2025,763,1,177,STANDING
2025,764,1,177,STANDING
2025,765,1,177,STANDING
2025,766,1,177,STANDING
2025,767,1,177,STANDING
2025,768,1,177,STANDING
2025,769,1,177,STANDING
2025,770,1,177,STANDING
2025,771,1,177,STANDING
2025,772,1,177,STANDING
2025,773,1,177,STANDING
2025,774,1,177,STANDING
2025,775,1,177,STANDING
2025,776,1,177,STANDING
2025,777,1,177,STANDING
2025,778,1,177,STANDING
2025,779,1,177,STANDING
2025,780,1,177,STANDING
2025,781,1,177,STANDING
2025,782,1,177,STANDING
2025,783,1,177,STANDING
2025,784,1,177,STANDING
2025,785,1,177,STANDING
2025,786,1,177,STANDING
2025,787,1,177,STANDING
2025,788,1,177,STANDING
2025,789,1,177,STANDING
2025,790,1,177,STANDING
2025,791,1,177,STANDING
2025,792,1,177,STANDING
2025,793,1,177,STANDING
2025,794,1,177,STANDING
2025,795,1,177,STANDING
2025,796,1,177,STANDING
2025,797,1,177,STANDING
2025,798,1,177,STANDING
2025,799,1,177,STANDING
2025,800,1,177,STANDING
2025,801,1,177,STANDING
2025,802,1,177,STANDING
2025,803,1,177,STANDING
2025,804,1,177,STANDING
2025,805,1,177,STANDING
2025,806,1,177,STANDING
2025,807,1,177,STANDING
2025,808,1,177,STANDING
2025,809,1,177,STANDING
2025,810,1,177,STANDING
2025,811,1,177,STANDING
2025,812,1,177,STANDING
2025,813,1,177,STANDING
2025,814,1,177,STANDING
2025,815,1,177,STANDING
2025,816,1,177,STANDING
2025,817,1,177,STANDING
2025,818,1,177,STANDING
2025,819,1,177,STANDING
2025,820,1,177,STANDING
2025,821,1,177,STANDING
2025,822,1,177,STANDING
2025,823,1,177,STANDING
2025,824,1,177,STANDING
2025,825,1,177,STANDING
2025,826,1,177,STANDING
2025,827,1,177,STANDING
2025,828,1,177,STANDING
2025,829,1,177,STANDING
2025,830,1,177,STANDING
2025,831,1,177,STANDING
2025,832,1,177,STANDING
2025,833,1,177,STANDING
2025,834,1,177,STANDING
2025,835,1,177,STANDING
2025,836,1,177,STANDING
2025,837,1,177,STANDING
2025,838,1,177,STANDING
2025,839,1,177,STANDING
2025,840,1,177,STANDING
2025,841,1,177,STANDING
2025,842,1,177,STANDING
2025,843,1,177,STANDING
2025,844,1,177,STANDING
2025,845,1,177,STANDING
2025,846,1,177,STANDING
2025,847,1,177,STANDING
2025,848,1,177,STANDING
2025,849,1,177,STANDING
2025,850,1,177,STANDING
2025,851,1,177,STANDING
2025,852,1,177,STANDING
2025,853,1,177,STANDING
2025,854,1,177,STANDING
2025,855,1,177,STANDING
2025,856,1,177,STANDING
2025,857,1,177,STANDING
2025,858,1,177,STANDING
2025,859,1,177,STANDING
2025,860,1,177,STANDING
2025,861,1,177,STANDING
2025,862,1,177,STANDING
2025,863,1,177,STANDING
2025,864,1,177,STANDING
2025,865,1,177,STANDING
2025,866,1,177,STANDING
2025,867,1,177,STANDING
2025,868,1,177,STANDING
2025,869,1,177,STANDING
2025,870,1,177,STANDING
2025,871,1,177,STANDING
2025,872,1,177,STANDING
2025,873,1,177,STANDING
2025,874,1,177,STANDING
2025,875,1,177,STANDING
2025,876,1,177,STANDING
2025,877,1,177,STANDING
2025,878,1,177,STANDING
2025,879,1,177,STANDING
2025,880,1,177,STANDING
2025,881,1,177,STANDING
2025,882,1,177,STANDING
2025,883,1,177,STANDING
2025,884,1,177,STANDING
2025,885,1,177,STANDING
2025,886,1,177,STANDING
2025,887,1,177,STANDING
2025,888,1,177,STANDING
2025,889,1,177,STANDING
2025,890,1,177,STANDING
2025,891,1,177,STANDING
2025,892,1,177,STANDING
2025,893,1,177,STANDING
2025,894,1,177,STANDING
2025,895,1,177,STANDING
2025,896,1,177,STANDING
2025,897,1,177,STANDING
2025,898,1,177,STANDING
2025,899,1,177,STANDING
2025,900,1,177,STANDING
2025,901,1,177,STANDING
2025,902,1,177,STANDING
2025,903,1,177,STANDING
2025,904,1,177,STANDING
2025,905,1,177,STANDING
2025,906,1,177,STANDING
2025,907,1,177,STANDING
2025,908,1,177,STANDING
2025,909,1,177,STANDING
2025,910,1,177,STANDING
2025,911,1,177,STANDING
2025,912,1,177,STANDING
2025,913,1,177,STANDING
2025,914,1,177,STANDING
2025,915,1,177,STANDING
2025,916,1,177,STANDING
2025,917,1,177,STANDING
2025,918,1,177,STANDING
2025,919,1,177,STANDING
2025,920,1,177,STANDING
2025,921,1,177,STANDING
2025,922,1,177,STANDING
2025,923,1,177,STANDING
2025,924,1,177,STANDING
2025,925,1,177,STANDING
2025,926,1,177,STANDING
2025,927,1,177,STANDING
2025,928,1,177,STANDING
2025,929,1,177,STANDING
2025,930,1,177,STANDING
2025,931,1,177,STANDING
2025,932,1,177,STANDING
2025,933,1,177,STANDING
2025,934,1,177,STANDING
2025,935,1,177,STANDING
2025,936,1,177,STANDING
2025,937,1,177,STANDING
2025,938,1,177,STANDING
2025,939,1,177,STANDING
2025,940,1,177,STANDING
2025,941,1,177,STANDING
2025,942,1,177,STANDING
2025,943,1,177,STANDING
2025,944,1,177,STANDING
2025,945,1,177,STANDING
2025,946,1,177,STANDING
2025,947,1,177,STANDING
2025,948,1,177,STANDING
2025,949,1,177,STANDING
2025,950,1,177,STANDING
2025,951,1,177,STANDING
2025,952,1,177,STANDING
2025,953,1,177,STANDING
2025,954,1,177,STANDING
2025,955,1,177,STANDING
2025,956,1,177,STANDING
2025,957,1,177,STANDING
2025,958,1,177,STANDING
2025,959,1,177,STANDING
2025,960,1,177,STANDING
2025,961,1,177,STANDING
2025,962,1,177,STANDING
2025,963,1,177,STANDING
2025,964,1,177,STANDING
2025,965,1,177,STANDING
2025,966,1,177,STANDING
2025,967,1,177,STANDING
2025,968,1,177,STANDING
2025,969,1,177,STANDING
2025,970,1,177,STANDING
2025,971,1,177,STANDING
2025,972,1,177,STANDING
2025,973,1,177,STANDING
2025,974,1,177,STANDING
2025,975,1,177,STANDING
2025,976,1,177,STANDING
2025,977,1,177,STANDING
2025,978,1,177,STANDING
2025,979,1,177,STANDING
2025,980,1,177,STANDING
2025,981,1,177,STANDING
2025,982,1,177,STANDING
2025,983,1,177,STANDING
2025,984,1,177,STANDING
2025,985,1,177,STANDING
2025,986,1,177,STANDING
2025,987,1,177,STANDING
2025,988,1,177,STANDING
2025,989,1,177,STANDING
2025,990,1,177,STANDING
2025,991,1,177,STANDING
2025,992,1,177,STANDING
2025,993,1,177,STANDING
